"Week starting (Wythnos yn dechrau)","Week ending (Wythnos yn gorffen)","Country (Wlad)","Check-ins (Cofrestriadau)","Symptoms reported (Symptomau a adroddwyd)","Positive test results linked to app (Canlyniadau prawf positif)","Negative test results linked to app (Canlyniadau prawf negatif)","Contact tracing alert (Hysbysiadau olrhain cyswllt)","Cumulative check-ins (Cofrestriadau cronnus)","Cumulative symptoms reported (Symptomau a adroddwyd cronnus)","Cumulative positive test results linked to app (Canlyniadau prawf positif cronnus)","Cumulative negative test results linked to app (Canlyniadau prawf negatif cronnus)","Cumulative contact tracing alert (Hysbysiadau olrhain cyswllt cronnus)"
"2021-07-01","2021-07-07","England / Lloegr","11411710","24609","86655","236380","521441","227111547","1719719","1171394","4625077","3336933"
"2021-07-01","2021-07-07","Wales / Cymru","165234","943","1964","10401","9946","4251743","92509","53224","234190","93440"
"2021-07-08","2021-07-14","England / Lloegr","10235045","31329","115943","243775","608770","237346592","1751048","1287337","4868852","3945703"
"2021-07-08","2021-07-14","Wales / Cymru","154098","1003","2491","9870","11435","4405841","93512","55715","244060","104875"
"2021-07-15","2021-07-21","England / Lloegr","6662642","35234","145791","267232","679510","244009234","1786282","1433128","5136084","4625213"
"2021-07-15","2021-07-21","Wales / Cymru","113397","966","2489","8452","11226","4519238","94478","58204","252512","116101"
"2021-07-22","2021-07-28","England / Lloegr","2331258","23684","82876","186361","389111","246340492","1809966","1516004","5322445","5014324"
"2021-07-22","2021-07-28","Wales / Cymru","76898","808","1877","7189","7720","4596136","95286","60081","259701","123821"
"2021-07-29","2021-08-04","England / Lloegr","1717901","20195","72987","152336","311481","248058393","1830161","1588991","5474781","5325805"
"2021-07-29","2021-08-04","Wales / Cymru","69245","701","1463","6529","6259","4665381","95987","61544","266230","130080"
"2021-08-05","2021-08-11","England / Lloegr","1266712","18411","77042","138992","256028","249325105","1848572","1666033","5613773","5581833"
"2021-08-05","2021-08-11","Wales / Cymru","46567","712","1881","6379","5985","4711948","96699","63425","272609","136065"
"2021-08-12","2021-08-18","England / Lloegr","963552","16033","76514","144537","238155","250288657","1864605","1742547","5758310","5819988"
"2021-08-12","2021-08-18","Wales / Cymru","32514","693","3261","7713","9768","4744462","97392","66686","280322","145833"
"2021-08-19","2021-08-25","England / Lloegr","745055","13129","71632","156636","219479","251033712","1877734","1814179","5914946","6039467"
"2021-08-19","2021-08-25","Wales / Cymru","26812","806","4218","9071","10950","4771274","98198","70904","289393","156783"
"2021-08-26","2021-09-01","England / Lloegr","624823","12136","62519","141408","196307","251658535","1889870","1876698","6056354","6235774"
"2021-08-26","2021-09-01","Wales / Cymru","23375","862","4876","9745","11155","4794649","99060","75780","299138","167938"
"2021-09-02","2021-09-08","England / Lloegr","535094","12879","68800","166136","199640","252193629","1902749","1945498","6222490","6435414"
"2021-09-02","2021-09-08","Wales / Cymru","21696","1029","6134","12614","12666","4816345","100089","81914","311752","180604"
"2021-09-09","2021-09-15","England / Lloegr","456477","11198","52216","159175","133686","252650106","1913947","1997714","6381665","6569100"
"2021-09-09","2021-09-15","Wales / Cymru","19399","967","5765","13647","9422","4835744","101056","87679","325399","190026"
"2021-09-16","2021-09-22","England / Lloegr","389464","11891","52224","161166","120018","253039570","1925838","2049938","6542831","6689118"
"2021-09-16","2021-09-22","Wales / Cymru","17680","1103","6190","15516","9296","4853424","102159","93869","340915","199322"
"2021-09-23","2021-09-29","England / Lloegr","317750","12057","57794","162265","134867","253357320","1937895","2107732","6705096","6823985"
"2021-09-23","2021-09-29","Wales / Cymru","15123","1080","6595","16102","11771","4868547","103239","100464","357017","211093"
"2021-09-30","2021-10-06","England / Lloegr","269425","11067","38882","87887","117924","253626745","1948962","2146614","6792983","6941909"
"2021-09-30","2021-10-06","Wales / Cymru","13312","856","3685","8461","7225","4881859","104095","104149","365478","218318"
"2021-10-07","2021-10-13","England / Lloegr","247984","11294","42521","85280","132470","253874729","1960256","2189135","6878263","7074379"
"2021-10-07","2021-10-13","Wales / Cymru","12284","900","3621","7257","7476","4894143","104995","107770","372735","225794"
"2021-10-14","2021-10-20","England / Lloegr","221272","11123","51788","107873","157902","254096001","1971379","2240923","6986136","7232281"
"2021-10-14","2021-10-20","Wales / Cymru","11124","925","4518","8787","10651","4905267","105920","112288","381522","236445"
"2021-10-21","2021-10-27","England / Lloegr","219075","10165","69473","122156","197549","254315076","1981544","2310396","7108292","7429830"
"2021-10-21","2021-10-27","Wales / Cymru","10963","767","5791","9119","11117","4916230","106687","118079","390641","247562"
"2021-10-28","2021-11-03","England / Lloegr","184713","9574","72828","111020","192857","254499789","1991118","2383224","7219312","7622687"
"2021-10-28","2021-11-03","Wales / Cymru","9827","756","5412","8705","10981","4926057","107443","123491","399346","258543"
"2021-11-04","2021-11-10","England / Lloegr","164461","9207","61013","98792","166273","254664250","2000325","2444237","7318104","7788960"
"2021-11-04","2021-11-10","Wales / Cymru","8815","711","4467","8026","9635","4934872","108154","127958","407372","268178"
"2021-11-11","2021-11-17","England / Lloegr","150188","9176","66103","99048","174955","254814438","2009501","2510340","7417152","7963915"
"2021-11-11","2021-11-17","Wales / Cymru","8294","819","4907","8050","9774","4943166","108973","132865","415422","277952"
"2021-11-18","2021-11-24","England / Lloegr","137969","9629","73168","111226","202936","254952407","2019130","2583508","7528378","8166851"
"2021-11-18","2021-11-24","Wales / Cymru","7888","672","4093","8025","9753","4951054","109645","136958","423447","287705"
"2021-11-25","2021-12-01","England / Lloegr","141620","11066","77020","117396","218232","255094027","2030196","2660528","7645774","8385083"
"2021-11-25","2021-12-01","Wales / Cymru","7346","660","4374","7976","10801","4958400","110305","141332","431423","298506"
"2021-12-02","2021-12-08","England / Lloegr","152215","12557","89678","139718","255183","255246242","2042753","2750206","7785492","8640266"
"2021-12-02","2021-12-08","Wales / Cymru","7137","747","4488","8840","11744","4965537","111052","145820","440263","310250"
"2021-12-09","2021-12-15","England / Lloegr","170883","18836","135644","174634","443916","255417125","2061589","2885850","7960126","9084182"
"2021-12-09","2021-12-15","Wales / Cymru","7411","886","5230","9984","14986","4972948","111938","151050","450247","325236"
"2021-12-16","2021-12-22","England / Lloegr","158030","21105","235665","196692","673427","255575155","2082694","3121515","8156818","9757609"
"2021-12-16","2021-12-22","Wales / Cymru","7089","976","8396","11919","26068","4980037","112914","159446","462166","351304"
"2021-12-23","2021-12-29","England / Lloegr","85510","24348","323111","117589","556764","255660665","2107042","3444626","8274407","10314373"
"2021-12-23","2021-12-29","Wales / Cymru","10626","1646","18724","8506","31534","4990663","114560","178170","470672","382838"
"2021-12-30","2022-01-05","England / Lloegr","105091","31361","453748","105862","574539","255765756","2138403","3898374","8380269","10888912"
"2021-12-30","2022-01-05","Wales / Cymru","16550","1749","26715","8468","30111","5007213","116309","204885","479140","412949"
"2022-01-06","2022-01-12","England / Lloegr","114413","16418","344352","96559","453611","255880169","2154821","4242726","8476828","11342523"
"2022-01-06","2022-01-12","Wales / Cymru","18649","820","13581","4800","17128","5025862","117129","218466","483940","430077"
"2022-01-13","2022-01-19","England / Lloegr","106200","10864","185679","48778","336482","255986369","2165685","4428405","8525606","11679005"
"2022-01-13","2022-01-19","Wales / Cymru","18358","445","7476","2202","11186","5044220","117574","225942","486142","441263"
"2022-01-20","2022-01-26","England / Lloegr","85872","9472","178840","41404","333935","256072241","2175157","4607245","8567010","12012940"
"2022-01-20","2022-01-26","Wales / Cymru","15457","522","8282","1922","12114","5059677","118096","234224","488064","453377"
"2022-01-27","2022-02-02","England / Lloegr","70631","9857","176168","38559","374419","256142872","2185014","4783413","8605569","12387359"
"2022-01-27","2022-02-02","Wales / Cymru","7891","491","8529","1857","14222","5067568","118587","242753","489921","467599"
"2022-02-03","2022-02-09","England / Lloegr","61622","7707","146356","34450","351605","256204494","2192721","4929769","8640019","12738964"
"2022-02-03","2022-02-09","Wales / Cymru","5250","443","7775","1740","15294","5072818","119030","250528","491661","482893"
"2022-02-10","2022-02-16","England / Lloegr","52421","6064","107802","26074","289262","256256915","2198785","5037571","8666093","13028226"
"2022-02-10","2022-02-16","Wales / Cymru","4047","397","6092","1410","13636","5076865","119427","256620","493071","496529"
"2022-02-17","2022-02-23","England / Lloegr","37250","5080","87614","17628","218164","256294165","2203865","5125185","8683721","13246390"
"2022-02-17","2022-02-23","Wales / Cymru","2786","263","4912","980","9311","5079651","119690","261532","494051","505840"
"2022-02-24","2022-03-02","England / Lloegr",,"5709","75354","11004","223001","256294165","2209574","5200539","8694725","13469391"
